NZ_AP013028.1	153	1535	+	chromosomal replication initiator protein DnaA	WP_041044912.1	202	FF8AD8	DnaA
NZ_AP013028.1	620781	621938	+	hypothetical protein	WP_145971852.1	-1	f3f3f3	-1
NZ_AP013028.1	624281	625318	-	aminotransferase class V-fold PLP-dependent enzyme	WP_084221183.1	594	f3f3f3	-1
NZ_AP013028.1	625406	625684	+	ankyrin repeat domain-containing protein	WP_084221184.1	2	f3f3f3	-1
NZ_AP013028.1	625784	626086	+	50S ribosomal protein L21	WP_041045729.1	177	f3f3f3	-1
NZ_AP013028.1	626097	626366	+	50S ribosomal protein L27	WP_041045731.1	305	f3f3f3	-1
NZ_AP013028.1	627662	627922	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	628060	628923	-	FAD-dependent thymidylate synthase	WP_041045735.1	557	f3f3f3	-1
NZ_AP013028.1	628933	630309	-	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	WP_041045737.1	654	f3f3f3	-1
NZ_AP013028.1	631037	632230	+	pyridoxal phosphate-dependent aminotransferase	WP_041045739.1	114	f3f3f3	-1
NZ_AP013028.1	632671	633174	-	hypothetical protein	WP_041046671.1	-1	f3f3f3	-1
NZ_AP013028.1	633465	634673	+	MFS transporter	WP_041045743.1	735	f3f3f3	-1
NZ_AP013028.1	634730	636007	+	serine hydroxymethyltransferase	WP_041045745.1	377	f3f3f3	-1
NZ_AP013028.1	637381	637641	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	638345	638953	+	superoxide dismutase	WP_041045747.1	532	f3f3f3	-1
NZ_AP013028.1	638955	640226	+	insulinase family protein	WP_041045749.1	217	f3f3f3	-1
NZ_AP013028.1	641063	642772	-	ATP-binding cassette domain-containing protein	WP_041045751.1	122	f3f3f3	-1
NZ_AP013028.1	642935	643258	-	Grx4 family monothiol glutaredoxin	WP_041045753.1	573	f3f3f3	-1
NZ_AP013028.1	643274	643492	-	BolA/IbaG family iron-sulfur metabolism protein	WP_041045755.1	68	f3f3f3	-1
NZ_AP013028.1	643553	644872	-	malate dehydrogenase	WP_084221207.1	242	f3f3f3	-1
NZ_AP013028.1	645017	645559	+	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	WP_041045757.1	298	f3f3f3	-1
NZ_AP013028.1	648096	650219	-	DNA translocase FtsK	WP_041045762.1	568	f3f3f3	-1
NZ_AP013028.1	650644	651081	-	stringent starvation protein B	WP_041045764.1	714	f3f3f3	-1
NZ_AP013028.1	651918	652934	-	uroporphyrinogen decarboxylase	WP_041046675.1	476	f3f3f3	-1
NZ_AP013028.1	653341	654156	+	CBS domain-containing protein	WP_041045766.1	26	f3f3f3	-1
NZ_AP013028.1	654769	655107	-	hypothetical protein	WP_052463218.1	1025	f3f3f3	-1
NZ_AP013028.1	655241	656278	+	phosphoribosylformylglycinamidine cyclo-ligase	WP_041045768.1	517	f3f3f3	-1
NZ_AP013028.1	656279	657001	-	phosphoribosylaminoimidazolesuccinocarboxamide synthase	WP_041045770.1	233	f3f3f3	-1
NZ_AP013028.1	657071	657761	+	tRNA (guanosine(37)-N1)-methyltransferase TrmD	WP_041045772.1	391	f3f3f3	-1
NZ_AP013028.1	657762	658145	+	50S ribosomal protein L19	WP_041045774.1	261	f3f3f3	-1
NZ_AP013028.1	658207	659457	+	phosphate ABC transporter permease PstA	WP_041045776.1	453	f3f3f3	-1
NZ_AP013028.1	659461	660267	+	phosphoribosylformylglycinamidine synthase subunit PurQ	WP_041045778.1	719	f3f3f3	-1
NZ_AP013028.1	661415	662344	-	hypothetical protein	WP_052463220.1	1584	f3f3f3	-1
NZ_AP013028.1	664133	665452	+	glutamate--tRNA ligase	WP_041046680.1	781	f3f3f3	-1
NZ_AP013028.1	665822	666229	-	hypothetical protein	WP_041045781.1	722	f3f3f3	-1
NZ_AP013028.1	666300	667130	+	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	WP_041045783.1	858	f3f3f3	-1
NZ_AP013028.1	667176	667457	-	DUF2610 domain-containing protein	WP_041045785.1	730	f3f3f3	-1
NZ_AP013028.1	667458	667841	-	hypothetical protein	WP_145971853.1	-1	f3f3f3	-1
NZ_AP013028.1	667922	669067	+	hypothetical protein	WP_041045787.1	685	f3f3f3	-1
NZ_AP013028.1	669145	670428	-	NADH-quinone oxidoreductase subunit NuoF	WP_041045789.1	516	f3f3f3	-1
NZ_AP013028.1	671311	672945	+	ribonuclease J	WP_041045791.1	547	f3f3f3	-1
NZ_AP013028.1	672951	674231	+	Tol-Pal system protein TolB	WP_041045793.1	250	f3f3f3	-1
NZ_AP013028.1	674745	676109	-	ankyrin repeat domain-containing protein	WP_041045795.1	2	f3f3f3	-1
NZ_AP013028.1	676810	677117	-	hypothetical protein	WP_041045797.1	1580	f3f3f3	-1
NZ_AP013028.1	677118	678065	-	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	WP_041045799.1	352	f3f3f3	-1
NZ_AP013028.1	678293	679504	+	MFS transporter	WP_041045800.1	39	f3f3f3	-1
NZ_AP013028.1	679751	680155	-	hypothetical protein	WP_052463223.1	-1	f3f3f3	-1
NZ_AP013028.1	681289	681529	+	translation initiation factor IF-1	WP_041045802.1	408	f3f3f3	-1
NZ_AP013028.1	681530	682117	+	septum formation protein Maf	WP_041045804.1	257	f3f3f3	-1
NZ_AP013028.1	682118	682990	-	hypothetical protein	WP_041045806.1	-1	f3f3f3	-1
NZ_AP013028.1	683038	683292	-	hypothetical protein	WP_052463224.1	-1	f3f3f3	-1
NZ_AP013028.1	683412	683711	-	hypothetical protein	WP_052463226.1	-1	f3f3f3	-1
NZ_AP013028.1	684229	684459	-	hypothetical protein	WP_052463228.1	-1	f3f3f3	-1
NZ_AP013028.1	685704	686879	+	recombinase family protein	WP_084221185.1	145	f3f3f3	-1
NZ_AP013028.1	688067	689394	-	signal recognition particle protein	WP_041045807.1	348	f3f3f3	-1
NZ_AP013028.1	689395	690954	-	cation:proton antiporter	WP_041045809.1	706	f3f3f3	-1
NZ_AP013028.1	691757	691999	+	hypothetical protein	WP_041045813.1	-1	f3f3f3	-1
NZ_AP013028.1	692034	692294	+	IS5 family transposase	WP_145971854.1	-1	f3f3f3	-1
NZ_AP013028.1	693093	693278	-	hypothetical protein	WP_052463231.1	-1	f3f3f3	-1
NZ_AP013028.1	693393	693920	-	ankyrin repeat domain-containing protein	WP_041045819.1	2	f3f3f3	-1
NZ_AP013028.1	694025	694486	-	hypothetical protein	WP_052463233.1	-1	f3f3f3	-1
NZ_AP013028.1	694632	695522	+	DMT family transporter	WP_041045821.1	415	f3f3f3	-1
NZ_AP013028.1	696920	698287	-	sodium:alanine symporter family protein	WP_041045827.1	514	f3f3f3	-1
NZ_AP013028.1	698390	698893	-	hypothetical protein	WP_041045830.1	1005	f3f3f3	-1
NZ_AP013028.1	699209	700861	-	chaperonin GroEL	WP_041045832.1	153	f3f3f3	-1
NZ_AP013028.1	700963	701253	-	co-chaperone GroES	WP_041045834.1	282	f3f3f3	-1
NZ_AP013028.1	701399	702193	+	folate-binding protein YgfZ	WP_041045837.1	500	f3f3f3	-1
NZ_AP013028.1	702859	703964	-	cell division protein FtsW	WP_041045840.1	603	f3f3f3	-1
NZ_AP013028.1	703965	704663	-	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	WP_041045842.1	168	f3f3f3	-1
NZ_AP013028.1	705160	705417	+	type II toxin-antitoxin system RelE/ParE family toxin	WP_041045844.1	47	f3f3f3	-1
NZ_AP013028.1	705576	706742	+	multidrug effflux MFS transporter	WP_041045846.1	13	f3f3f3	-1
NZ_AP013028.1	706810	708960	-	transketolase	WP_041045848.1	154	f3f3f3	-1
NZ_AP013028.1	709074	709688	+	30S ribosomal protein S4	WP_041046684.1	289	f3f3f3	-1
NZ_AP013028.1	709814	710008	+	Fe-S cluster assembly protein IscX	WP_041046685.1	717	f3f3f3	-1
NZ_AP013028.1	711233	712312	-	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	WP_041045850.1	507	f3f3f3	-1
NZ_AP013028.1	712312	713511	-	deoxyguanosinetriphosphate triphosphohydrolase	WP_041045852.1	881	f3f3f3	-1
NZ_AP013028.1	713559	714020	+	iron-sulfur cluster assembly accessory protein	WP_041045854.1	460	f3f3f3	-1
NZ_AP013028.1	714045	714719	+	ABC transporter ATP-binding protein	WP_041045856.1	307	f3f3f3	-1
NZ_AP013028.1	714744	714917	-	type IV secretion system protein VirB7	WP_084221186.1	-1	f3f3f3	-1
NZ_AP013028.1	714970	715668	-	alpha/beta hydrolase	WP_041045858.1	783	f3f3f3	-1
NZ_AP013028.1	715840	716988	+	cysteine desulfurase	WP_041045861.1	594	f3f3f3	-1
NZ_AP013028.1	719250	719472	+	hypothetical protein	WP_041045865.1	-1	f3f3f3	-1
NZ_AP013028.1	719473	720084	-	heme ABC exporter ATP-binding protein CcmA	WP_041045869.1	512	f3f3f3	-1
NZ_AP013028.1	720522	720953	-	hypothetical protein	WP_041045872.1	987	f3f3f3	-1
NZ_AP013028.1	721150	722952	+	aspartate--tRNA ligase	WP_041045874.1	175	f3f3f3	-1
NZ_AP013028.1	722983	724245	+	MFS transporter	WP_041045876.1	39	f3f3f3	-1
NZ_AP013028.1	724351	724860	-	translation initiation factor IF-3	WP_041045878.1	318	f3f3f3	-1
NZ_AP013028.1	724864	726774	-	threonine--tRNA ligase	WP_041045880.1	284	f3f3f3	-1
NZ_AP013028.1	728119	729939	-	glutamine--fructose-6-phosphate transaminase (isomerizing)	WP_041045882.1	923	f3f3f3	-1
NZ_AP013028.1	729967	730398	-	preprotein translocase subunit YajC	WP_041045884.1	270	f3f3f3	-1
NZ_AP013028.1	730873	733392	-	DNA mismatch repair protein MutS	WP_041045886.1	371	f3f3f3	-1
NZ_AP013028.1	733699	734880	+	ribonuclease D	WP_041045888.1	529	f3f3f3	-1
NZ_AP013028.1	734881	735468	-	dephospho-CoA kinase	WP_041045889.1	695	f3f3f3	-1
NZ_AP013028.1	735633	737036	+	2-nitropropane dioxygenase	WP_041046687.1	999	f3f3f3	-1
NZ_AP013028.1	737256	738347	+	hypothetical protein	WP_041045891.1	-1	f3f3f3	-1
NZ_AP013028.1	738398	738670	+	IS5 family transposase	WP_041044978.1	446	f3f3f3	-1
NZ_AP013028.1	739196	739456	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	739655	740062	+	GNAT family N-acetyltransferase	WP_041046688.1	-1	f3f3f3	-1
NZ_AP013028.1	740824	741618	+	signal peptidase I	WP_041045893.1	394	f3f3f3	-1
NZ_AP013028.1	741622	743560	-	Hsp70 family protein	WP_070104830.1	734	f3f3f3	-1
NZ_AP013028.1	743561	744011	-	molecular chaperone Hsc20	WP_041045895.1	564	f3f3f3	-1
NZ_AP013028.1	744012	744416	-	iron-sulfur cluster assembly accessory protein	WP_041045897.1	224	f3f3f3	-1
NZ_AP013028.1	744419	744799	-	Fe-S cluster assembly scaffold IscU	WP_041045899.1	212	f3f3f3	-1
NZ_AP013028.1	744986	745883	+	signal recognition particle-docking protein FtsY	WP_041045901.1	182	f3f3f3	-1
NZ_AP013028.1	745884	747233	-	DNA repair protein RadA	WP_041045903.1	626	f3f3f3	-1
NZ_AP013028.1	747566	748543	-	quinone oxidoreductase	WP_041045905.1	744	f3f3f3	-1
NZ_AP013028.1	749265	749471	+	DnaJ domain-containing protein	WP_084221208.1	-1	f3f3f3	-1
NZ_AP013028.1	749491	751473	+	hypothetical protein	WP_041045909.1	1596	f3f3f3	-1
NZ_AP013028.1	751815	752414	-	ubiquinol-cytochrome c reductase iron-sulfur subunit	WP_041045911.1	689	f3f3f3	-1
NZ_AP013028.1	752499	755210	-	DNA gyrase subunit A	WP_041045912.1	249	f3f3f3	-1
NZ_AP013028.1	755631	757715	+	hypothetical protein	WP_145971855.1	-1	f3f3f3	-1
NZ_AP013028.1	757838	758326	+	SgcJ/EcaC family oxidoreductase	WP_052463238.1	-1	f3f3f3	-1
NZ_AP013028.1	759108	759746	+	16S rRNA (uracil(1498)-N(3))-methyltransferase	WP_041045913.1	355	f3f3f3	-1
NZ_AP013028.1	759747	762224	-	hypothetical protein	WP_052463240.1	956	f3f3f3	-1
NZ_AP013028.1	762578	763792	-	DEAD/DEAH box helicase	WP_041046694.1	431	f3f3f3	-1
NZ_AP013028.1	763818	764072	-	cold-shock protein	WP_041045914.1	19	f3f3f3	-1
NZ_AP013028.1	764247	765581	-	TldD/PmbA family protein	WP_041045915.1	1141	f3f3f3	-1
NZ_AP013028.1	765600	766472	-	F0F1 ATP synthase subunit gamma	WP_041045916.1	95	f3f3f3	-1
NZ_AP013028.1	768781	769035	+	ankyrin repeat domain-containing protein	WP_084221187.1	2	f3f3f3	-1
NZ_AP013028.1	769446	769973	-	hypothetical protein	WP_041045920.1	-1	f3f3f3	-1
NZ_AP013028.1	770321	772237	-	AAA family ATPase	WP_041045922.1	381	f3f3f3	-1
NZ_AP013028.1	772513	772836	-	thioredoxin	WP_041045924.1	326	f3f3f3	-1
NZ_AP013028.1	772946	773566	-	3'-5' exonuclease	WP_041045926.1	672	f3f3f3	-1
NZ_AP013028.1	774530	774796	+	hypothetical protein	WP_145971856.1	-1	f3f3f3	-1
NZ_AP013028.1	775604	776122	+	ankyrin repeat domain-containing protein	WP_084221188.1	2	f3f3f3	-1
NZ_AP013028.1	776199	778859	+	2-oxoglutarate dehydrogenase E1 component	WP_041046695.1	515	f3f3f3	-1
NZ_AP013028.1	779449	779709	-	IS5 family transposase	WP_145971857.1	-1	f3f3f3	-1
NZ_AP013028.1	779946	780130	+	hypothetical protein	WP_041045933.1	-1	f3f3f3	-1
NZ_AP013028.1	780131	780934	+	ankyrin repeat domain-containing protein	WP_041045935.1	2	f3f3f3	-1
NZ_AP013028.1	780935	781531	-	TIGR02217 family protein	WP_041046696.1	1017	f3f3f3	-1
NZ_AP013028.1	781743	782501	-	DsbA family protein	WP_041045936.1	479	f3f3f3	-1
NZ_AP013028.1	782805	784301	+	ATPase AAA	WP_041045938.1	-1	f3f3f3	-1
NZ_AP013028.1	784305	785780	+	UbiD family decarboxylase	WP_041045940.1	540	f3f3f3	-1
NZ_AP013028.1	787733	788443	+	ABC transporter permease	WP_041046697.1	158	f3f3f3	-1
NZ_AP013028.1	788570	788788	+	hypothetical protein	WP_041045941.1	94	f3f3f3	-1
NZ_AP013028.1	788790	789080	+	type II toxin-antitoxin system RelE/ParE family toxin	WP_084221209.1	47	f3f3f3	-1
NZ_AP013028.1	789302	789784	-	transcription antitermination factor NusB	WP_041045943.1	276	f3f3f3	-1
NZ_AP013028.1	789784	790189	-	6,7-dimethyl-8-ribityllumazine synthase	WP_041045945.1	489	f3f3f3	-1
NZ_AP013028.1	790190	791908	-	membrane protein insertase YidC	WP_041045947.1	349	f3f3f3	-1
NZ_AP013028.1	792044	792532	+	TIGR02281 family clan AA aspartic protease	WP_041045949.1	750	f3f3f3	-1
NZ_AP013028.1	792533	793414	-	protein translocase subunit SecF	WP_041045951.1	169	f3f3f3	-1
NZ_AP013028.1	794839	795138	-	hypothetical protein	WP_145971883.1	-1	f3f3f3	-1
NZ_AP013028.1	795371	796402	+	site-specific DNA-methyltransferase	WP_041045953.1	921	f3f3f3	-1
NZ_AP013028.1	798676	800640	-	heme lyase CcmF/NrfE family subunit	WP_041045958.1	373	f3f3f3	-1
NZ_AP013028.1	800821	801183	+	hypothetical protein	WP_041045960.1	-1	f3f3f3	-1
NZ_AP013028.1	802048	802640	+	hypothetical protein	WP_052463247.1	-1	f3f3f3	-1
NZ_AP013028.1	802641	802952	+	hypothetical protein	WP_052463249.1	-1	f3f3f3	-1
NZ_AP013028.1	803044	803895	+	peptide chain release factor N(5)-glutamine methyltransferase	WP_041045962.1	584	f3f3f3	-1
NZ_AP013028.1	809002	809898	-	aspartate carbamoyltransferase catalytic subunit	WP_041045966.1	553	f3f3f3	-1
NZ_AP013028.1	811339	811917	+	hypothetical protein	WP_052463250.1	-1	f3f3f3	-1
NZ_AP013028.1	811934	812824	-	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	WP_041045970.1	200	f3f3f3	-1
NZ_AP013028.1	812900	813370	+	hypothetical protein	WP_041045972.1	1002	f3f3f3	-1
NZ_AP013028.1	813832	815469	-	recombinase family protein	WP_084221189.1	145	f3f3f3	-1
NZ_AP013028.1	816657	817421	-	ankyrin repeat domain-containing protein	WP_052463255.1	2	f3f3f3	-1
NZ_AP013028.1	817572	818192	-	ankyrin repeat domain-containing protein	WP_052463257.1	2	f3f3f3	-1
NZ_AP013028.1	819691	820734	+	phenylalanine--tRNA ligase subunit alpha	WP_041045978.1	316	f3f3f3	-1
NZ_AP013028.1	820735	821973	+	NTP transferase domain-containing protein	WP_041045980.1	648	f3f3f3	-1
NZ_AP013028.1	822089	822349	+	IS5 family transposase	WP_145971854.1	-1	f3f3f3	-1
NZ_AP013028.1	824212	825477	-	ankyrin repeat domain-containing protein	WP_041045982.1	-1	f3f3f3	-1
NZ_AP013028.1	826388	827323	-	hypothetical protein	WP_041045984.1	-1	f3f3f3	-1
NZ_AP013028.1	827774	830767	+	ankyrin repeat domain-containing protein	WP_041045986.1	2	f3f3f3	-1
NZ_AP013028.1	831398	831559	+	hypothetical protein	WP_084221171.1	-1	f3f3f3	-1
NZ_AP013028.1	831907	832638	+	IS4 family transposase	WP_145971858.1	-1	f3f3f3	-1
NZ_AP013028.1	832639	832801	+	hypothetical protein	WP_084221190.1	-1	f3f3f3	-1
NZ_AP013028.1	832802	833503	-	hypothetical protein	WP_145971859.1	-1	f3f3f3	-1
NZ_AP013028.1	833817	834713	-	Rpn family recombination-promoting nuclease/putative transposase	WP_041045992.1	17	f3f3f3	-1
NZ_AP013028.1	836121	836379	-	IS5 family transposase	WP_145971860.1	-1	f3f3f3	-1
NZ_AP013028.1	836380	837048	+	hypothetical protein	WP_084221192.1	2	f3f3f3	-1
NZ_AP013028.1	837447	838738	-	adenosylmethionine--8-amino-7-oxononanoate transaminase	WP_041045996.1	401	FF2600	BioA
NZ_AP013028.1	838739	839334	-	dethiobiotin synthase	WP_041045998.1	119	D4FB79	BioD
NZ_AP013028.1	839335	840055	-	methyltransferase domain-containing protein	WP_041046000.1	67	73FDFF	BioC
NZ_AP013028.1	840056	840705	-	alpha/beta hydrolase	WP_041046002.1	941	008F00	BioH
NZ_AP013028.1	840706	841848	-	8-amino-7-oxononanoate synthase	WP_052463260.1	-1	f3f3f3	-1
NZ_AP013028.1	841864	842817	+	biotin synthase BioB	WP_041046003.1	329	0096FF	BioB
NZ_AP013028.1	843307	844380	-	5-(carboxyamino)imidazole ribonucleotide synthase	WP_041046004.1	772	f3f3f3	-1
NZ_AP013028.1	844469	844873	+	Co2+/Mg2+ efflux protein ApaG	WP_041046006.1	701	f3f3f3	-1
NZ_AP013028.1	844895	846493	-	iron ABC transporter permease	WP_041046008.1	961	f3f3f3	-1
NZ_AP013028.1	846615	847421	+	rhodanese-related sulfurtransferase	WP_041046010.1	485	f3f3f3	-1
NZ_AP013028.1	848781	849041	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	849986	852796	+	excinuclease ABC subunit UvrA	WP_041046012.1	285	f3f3f3	-1
NZ_AP013028.1	853915	854175	-	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	854354	854594	+	translation initiation factor IF-1	WP_041045802.1	408	f3f3f3	-1
NZ_AP013028.1	854595	855182	+	septum formation protein Maf	WP_041045804.1	257	f3f3f3	-1
NZ_AP013028.1	855183	856055	-	hypothetical protein	WP_041045806.1	-1	f3f3f3	-1
NZ_AP013028.1	856103	856357	-	hypothetical protein	WP_052463224.1	-1	f3f3f3	-1
NZ_AP013028.1	856477	856776	-	hypothetical protein	WP_052463226.1	-1	f3f3f3	-1
NZ_AP013028.1	857294	857524	-	hypothetical protein	WP_052463228.1	-1	f3f3f3	-1
NZ_AP013028.1	857947	858207	+	IS5 family transposase	WP_145971824.1	-1	f3f3f3	-1
NZ_AP013028.1	858941	859609	-	conjugal transfer protein TraJ	WP_041046014.1	768	f3f3f3	-1
NZ_AP013028.1	859659	860453	-	hypothetical protein	WP_041046017.1	957	f3f3f3	-1
NZ_AP013028.1	860518	861325	-	DNA polymerase III subunit delta'	WP_041046018.1	728	f3f3f3	-1
NZ_AP013028.1	861326	861946	-	threonylcarbamoyl-AMP synthase	WP_041046020.1	121	f3f3f3	-1
NZ_AP013028.1	864746	865642	+	class I fructose-bisphosphate aldolase	WP_041046710.1	708	f3f3f3	-1
NZ_AP013028.1	866075	866293	-	hypothetical protein	WP_145971861.1	-1	f3f3f3	-1
NZ_AP013028.1	866437	867603	+	hypothetical protein	WP_052463261.1	-1	f3f3f3	-1
NZ_AP013028.1	867765	868142	+	hypothetical protein	WP_052463263.1	-1	f3f3f3	-1
NZ_AP013028.1	868472	869257	+	SDR family oxidoreductase	WP_041046022.1	260	f3f3f3	-1
NZ_AP013028.1	869339	869821	+	NADH-quinone oxidoreductase subunit NuoI	WP_041046024.1	508	f3f3f3	-1
NZ_AP013028.1	873509	875071	+	transcription termination/antitermination protein NusA	WP_041046026.1	281	f3f3f3	-1
NZ_AP013028.1	875080	877398	+	translation initiation factor IF-2	WP_041046028.1	411	f3f3f3	-1
NZ_AP013028.1	877400	877744	+	ribosome-binding factor A	WP_041046030.1	663	f3f3f3	-1
NZ_AP013028.1	877747	878604	+	4-hydroxybenzoate octaprenyltransferase	WP_041046032.1	536	f3f3f3	-1
NZ_AP013028.1	879285	880400	-	rod shape-determining protein RodA	WP_041046036.1	644	f3f3f3	-1
NZ_AP013028.1	880443	881909	-	monovalent cation/H+ antiporter subunit D	WP_041046038.1	572	f3f3f3	-1
NZ_AP013028.1	881974	882288	+	NADH:ubiquinone oxidoreductase	WP_041046040.1	759	f3f3f3	-1
NZ_AP013028.1	882291	882746	+	outer membrane lipid asymmetry maintenance protein MlaD	WP_041046042.1	209	f3f3f3	-1
NZ_AP013028.1	883023	883082	-	hypothetical protein	WP_145971884.1	-1	f3f3f3	-1
NZ_AP013028.1	884318	886216	+	molecular chaperone HtpG	WP_041046713.1	588	f3f3f3	-1
NZ_AP013028.1	886257	889016	+	lipase family protein	WP_052463267.1	-1	f3f3f3	-1
NZ_AP013028.1	889081	890274	+	5-aminolevulinate synthase	WP_041046044.1	597	f3f3f3	-1
NZ_AP013028.1	890275	890973	-	inositol monophosphatase family protein	WP_041046046.1	8	f3f3f3	-1
NZ_AP013028.1	890982	891548	-	elongation factor P	WP_041046048.1	113	f3f3f3	-1
NZ_AP013028.1	891611	892117	-	16S rRNA processing protein RimM	WP_041046050.1	176	f3f3f3	-1
NZ_AP013028.1	894714	895011	+	integration host factor subunit alpha	WP_041046053.1	14	f3f3f3	-1
NZ_AP013028.1	895012	895347	+	MerR family transcriptional regulator	WP_041046055.1	48	f3f3f3	-1
NZ_AP013028.1	897010	897216	+	50S ribosomal protein L35	WP_041046057.1	389	f3f3f3	-1
NZ_AP013028.1	897237	897602	+	50S ribosomal protein L20	WP_041046059.1	258	f3f3f3	-1
NZ_AP013028.1	897622	898530	+	methionyl-tRNA formyltransferase	WP_041046061.1	227	f3f3f3	-1
NZ_AP013028.1	898589	899071	-	hypothetical protein	WP_041046063.1	-1	f3f3f3	-1
NZ_AP013028.1	899276	900421	+	glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit	WP_041046065.1	542	f3f3f3	-1
NZ_AP013028.1	900772	901947	+	elongation factor Tu	WP_041045201.1	102	f3f3f3	-1
NZ_AP013028.1	902045	902237	+	preprotein translocase subunit SecE	WP_041046716.1	1003	f3f3f3	-1
NZ_AP013028.1	902238	903074	+	transcription termination/antitermination factor NusG	WP_145971885.1	-1	f3f3f3	-1
NZ_AP013028.1	903077	903517	+	50S ribosomal protein L11	WP_041046069.1	201	f3f3f3	-1
NZ_AP013028.1	903522	904175	+	50S ribosomal protein L1	WP_041046071.1	362	f3f3f3	-1
NZ_AP013028.1	904188	904706	+	50S ribosomal protein L10	WP_041046073.1	232	f3f3f3	-1
NZ_AP013028.1	904732	905133	+	50S ribosomal protein L7/L12	WP_041046075.1	294	f3f3f3	-1
NZ_AP013028.1	905200	913728	+	DNA-directed RNA polymerase subunit beta/beta'	WP_041046077.1	36	f3f3f3	-1
NZ_AP013028.1	915319	917256	-	RNA polymerase sigma factor RpoD	WP_041046079.1	358	f3f3f3	-1
NZ_AP013028.1	917379	917701	-	cation:proton antiporter subunit C	WP_041046081.1	700	f3f3f3	-1
NZ_AP013028.1	917702	918113	-	Na(+)/H(+) antiporter subunit B	WP_041046083.1	962	f3f3f3	-1
NZ_AP013028.1	918114	918635	-	DUF4040 domain-containing protein	WP_041046085.1	784	f3f3f3	-1
NZ_AP013028.1	918637	918924	-	monovalent cation/H+ antiporter subunit G	WP_041046087.1	668	f3f3f3	-1
NZ_AP013028.1	918931	919176	-	multiple resistance and pH regulation protein F (MrpF / PhaF) superfamily	WP_084221193.1	1028	f3f3f3	-1
NZ_AP013028.1	919213	919641	-	DNA-directed RNA polymerase subunit omega	WP_041046089.1	308	f3f3f3	-1
NZ_AP013028.1	919699	920001	-	XRE family transcriptional regulator	WP_041046718.1	982	f3f3f3	-1
NZ_AP013028.1	920795	921055	-	IS5 family transposase	WP_145971860.1	-1	f3f3f3	-1
NZ_AP013028.1	921269	921763	+	5-(carboxyamino)imidazole ribonucleotide mutase	WP_145971886.1	-1	f3f3f3	-1
NZ_AP013028.1	921768	923636	+	DNA mismatch repair endonuclease MutL	WP_041046093.1	300	f3f3f3	-1
NZ_AP013028.1	926379	926651	-	IS5 family transposase	WP_041044978.1	446	f3f3f3	-1
NZ_AP013028.1	926676	927896	-	hypothetical protein	WP_041046100.1	957	f3f3f3	-1
NZ_AP013028.1	927983	929062	-	DNA replication/repair protein RecF	WP_041046102.1	454	f3f3f3	-1
NZ_AP013028.1	929084	929551	-	thioredoxin-dependent thiol peroxidase	WP_041046104.1	472	f3f3f3	-1
NZ_AP013028.1	931108	932298	+	aspartate aminotransferase family protein	WP_041046106.1	97	f3f3f3	-1
NZ_AP013028.1	932752	933651	+	Rpn family recombination-promoting nuclease/putative transposase	WP_041046108.1	17	f3f3f3	-1
NZ_AP013028.1	933797	934600	-	glutamine amidotransferase	WP_084221210.1	963	f3f3f3	-1
NZ_AP013028.1	935032	935538	+	pantetheine-phosphate adenylyltransferase	WP_041046110.1	530	f3f3f3	-1
NZ_AP013028.1	935604	935858	+	hypothetical protein	WP_041046112.1	-1	f3f3f3	-1
NZ_AP013028.1	935881	936496	-	CDP-archaeol synthase	WP_041046114.1	99	f3f3f3	-1
NZ_AP013028.1	936497	937192	-	di-trans,poly-cis-decaprenylcistransferase	WP_041046117.1	641	f3f3f3	-1
NZ_AP013028.1	937555	938112	-	ribosome recycling factor	WP_041046119.1	387	f3f3f3	-1
NZ_AP013028.1	938123	938854	-	UMP kinase	WP_041046121.1	253	f3f3f3	-1
NZ_AP013028.1	938865	939734	-	elongation factor Ts	WP_041046123.1	288	f3f3f3	-1
NZ_AP013028.1	939738	940592	-	30S ribosomal protein S2	WP_145971862.1	-1	f3f3f3	-1
NZ_AP013028.1	941195	942307	+	tRNA 2-thiouridine(34) synthase MnmA	WP_041046125.1	155	f3f3f3	-1
NZ_AP013028.1	942378	942704	-	hypothetical protein	WP_052463270.1	-1	f3f3f3	-1
NZ_AP013028.1	942965	943291	-	hypothetical protein	WP_145971863.1	-1	f3f3f3	-1
NZ_AP013028.1	943312	943572	+	IS5 family transposase	WP_145971854.1	-1	f3f3f3	-1
